INDICATOR:,UNIT:,"Status of indicator (existing, proposed).",Availability of data: Indicator/Signal/Potential,Qualitative indicator,Boolean indicator (yes/No),Quantitative indicator,Temporal,Geographic,Recent year,EU,National,Regional/Cities,Products /  Companies,Description of the indicator/signal/potential,Methodological considerations,Required methodology,Headline,Societal Goals,Environmental,Economic,Social,Circularity,Agriculture,Forestry,Acquaculture,Secondary production systems,Waste and Circularity,Ecosystem conditions,Trade,Primary sectors,Stock,Processing/Manufacturing services,Users,Disposal/Cascading/Recycling/Reusing,Whole chain,SDG 1: No poverty,SDG 2: Zero hunger,SDG 3: Good health and well being,SDG 4: Quality education,SDG 5: Gender equality,SDG 6: Clean water and sanitation,SDG 7: Affordable and clean energy,SDG 8: Decent work and economic growth,"SDG 9: Industry, innovation and infrastructure",SDG 10: Reduced inequalities,SDG 11: Sustainable cities and communities,SDG 12: Responsible consumption and production,SDG 13: Climate action,SDG 14: Life below water,SDG 15: Life on land,"SDG 16: Peace, justice, and strong institutions",SDG 17: Partnerships for the goals,Source,Link to reference,Link to data
Vineyards,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Including young plantations.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Orchards,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Fruit trees and berries (including tropical and sub-tropical fruits) and citrus fruits.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Olive groves,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Olive groves.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other permanent crops,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Permanent crops grown under shelter, nurseries (including vine nurseries), other permanent crops (such as osier, rushes and bamboo) and young plantations, in hectares.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Permanent crops other than vineyards,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Fruit and berry orchards (including tropical fruit), citrus fruit orchards, olive groves, nurseries and other permanent crops (osier, rushes, bamboos). Including permanent crops grown under shelter. Vines are not included.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Forage crops,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Fodder roots and brassicas (mangolds, etc.), other fodder plants, temporary grass, meadows and permanent pastures, rough grazing.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Agricultural fallows without any subsidies,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Agricultural land not cultivated for agricultural reasons, not subject to de-coupled or set-aside payments.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Set aside,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Land withdrawn from production under agricultural policy measures and not cultivated, subject to de-coupled or set-aside payments or other subsidies.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total agricultural area out of production,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,= Agricultural land not cultivated for agricultural reasons (fallow land) + Land withdrawn from production under compulsory agricultural policy measures + (since 2009). Areas of permanent grassland and meadows no longer used for production purposes but maintained in good agricultural and environmental condition and eligible for financial support.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Woodland area,ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Woodland area, forests, poplar plantations, including nurseries. Not included in UAA (SE025).","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total livestock units,LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Number of equidae, cattle, sheep, goats, pigs,  and poultry and rabbits present on holding (annual average), converted into livestock units (LU). Not included are beehives, and other animals. Animals which do not belong to the holder but are held under a production contract are taken into account according to their annual presence.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Dairy cows (incl. buffaloes),LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Female bovine animals (including female buffaloes) which have calved and are held principally for milk production for human consumption. Cull dairy cows included.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Cattle dairy cows,LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Female bovine animals which have calved and are held principally for milk production for human consumption. Cull cows included.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Buffalo dairy cows,LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Female buffalo animals which have calved and are held principally for milk production for human consumption. Cull cows included.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other cattle,LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,All other cattle and buffaloes.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Sheep and goats,LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Goats, other goats, ewes and other sheep.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Pigs,LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Piglets, breeding sows, pigs for fattening, other pigs.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Poultry,LU,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Table chickens, laying hens and other poultry.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Yield of wheat,q / ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Production of common wheat and spelt in quintals (100 kilogrammes) per hectare.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Yield of maize,q / ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Production of grain maize in quintals/ha.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Stocking density,LU/ ha,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Density of ruminant grazing livestock: average number of LU of bovines, sheep and goats per hectare of forage UAA. Forage area includes fodder crops, agricultural fallows and land withdrawn from production (not cultivated, except in the exceptional cases of crops under set-aside schemes). Stocking density is calculated only for holdings with corresponding animals and with forage area.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Milk yield (incl. buffaloes'),kg/ cow,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Average production of milk and milk products (in milk equivalents) in kg per dairy cow. Production includes farmhouse consumption and farm use (distributed to animals). Holdings without dairy cows are excluded.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Milk yield cattle dairy cows,kg/ cow,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Average production of milk and milk products (in milk equivalents) in kg per cattle dairy cow. Production includes farmhouse consumption and farm use (distributed to animals). Holdings without dairy cows are excluded.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Milk yield buffalo dairy cows,kg/ cow,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,Average production of milk and milk products (in milk equivalents) in kg per buffalo dairy cow. Production includes farmhouse consumption and farm use (distributed to animals). Holdings without buffalo dairy cows are excluded.,"FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total output,€,Existing,Indicator,NA,NA,x,2004-2022,EU,2022,x,x,x,NA,"Total value of output of crops and crop products, livestock and livestock products and of other output, including that of other gainful activities (OGA) of the farms.
Sales and use of (crop and livestock) products and livestock
+ change in stocks of products (crop and livestock)
+ change in valuation of livestock
-  purchases of livestock
+ various non-exceptional products.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).",https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html,https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
