"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"net GHG emissions (emissions and removal) from bio-waste (absolute and relative vs. total waste emissions)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"GHG emissions from fishing and aquacolture",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Financial support to bio-based sectors (climate action)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Annual heating and cooling degree days",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Adaptation in forest, natural disturbance events",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Adaptation in fisheries, potential catch",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x",NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"MS Preparedeness - Year of adoption of National Adaptation stategy/Plan (NAS/NAP)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Adaptation, International Transboundaries effects - loss in GDP",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Soil moisture (seasonal average)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Soil erosion / desertification",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Adaptation in agricolture, share of farmers with CAP risk management tools (insurance)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Adaptation in agricolture, share of agricoltural land under commitments to improve adaptation (ha)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Adaptation in agricolture, unsustainable water use: share of irrigated land under commitments to improve water balance",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"City preparedness - # cities signatories of COM - Adaptation",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Investments in urban adaptation through nature-based infrastructures of EBA",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO4 Mitigating and adapting to climate change","x",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Value Added per sector / Bioeconomy value added","%","Existing","indicator",NA,NA,"x","2008-2021","EU",2021,"x","x",NA,NA,"The ratio of the value added of a sector on the total bioeconomy value added reflects the contribution of that sector to bioeconomy wealth generation. Value added refers to the value added at factor costs. It is the gross income from operating activities after adjusting for operating subsidies and indirect taxes. Value adjustments like depreciation are not subtracted.","The considered sectors are: agriculture, forestry, fishing and aquaculture,  bio-based textile, bio-based wearing apparel, leather, wood pruducts, paper, bio-based pharmaceutical, rubber and bio-based plastics, wooden forniture, bio-based chemicals, bio-based electricity, biodiesel, bioethanol, food, beverage, tobacco.",NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Gross value added per person employed in bioeconomy","1000 EUR per worker","Existing","indicator",NA,NA,"x","2008-2021","EU",2021,"x","x",NA,NA,"The value added at factor costs divided by the number of persons employed in a given sector measures the ""Apparent labour productivity"" of that sector.","The considered sectors are: agriculture, forestry, fishing and aquaculture,  bio-based textile, bio-based wearing apparel, leather, wood pruducts, paper, bio-based pharmaceutical, rubber and bio-based plastics, wooden forniture, bio-based chemicals, bio-based electricity, biodiesel, bioethanol, food, beverage, tobacco.",NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Turnover in bioeconomy per sector","Million EUR","Existing","indicator",NA,NA,"x","2008-2021","EU",2021,"x","x",NA,NA,"Turnover comprises the totals invoiced by the observation unit during the reference period, and this corresponds to market sales of goods or services supplied to third parties.","The considered sectors are: agriculture, forestry, fishing and aquaculture,  bio-based textile, bio-based wearing apparel, leather, wood pruducts, paper, bio-based pharmaceutical, rubber and bio-based plastics, wooden forniture, bio-based chemicals, bio-based electricity, biodiesel, bioethanol, food, beverage, tobacco.",NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Value-added per sector","Million EUR","Existing","indicator",NA,NA,"x","2008-2021","EU",2021,"x","x",NA,NA,"It refers to the value added at factor costs. It is the gross income from operating activities after adjusting for operating subsidies and indirect taxes. Value adjustments (for example depreciation) are not subtracted.",NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Persons employed per bioeconomy sectors","person","Existing","indicator",NA,NA,"x","2008-2021","EU",2021,"x","x",NA,NA,"This is defined as the total number of persons working in the observation unit, as well as persons who work outside the unit who belong to it and are paid by it.","For Algae: Data collected and curated by JRC.D2 Water and Marine Resources. To be noted is that the employment data under fishing and aquaculture includes also algae gathering.",NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Share biomass used by primary sector","%","Existing","indicator",NA,NA,"x","2009-2016","EU",2016,"x","x",NA,NA,"the indicator measures the share of biomass used by agriculture, fisheries and forestry sectors.",NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs","x","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Contribution of the Bioeconomy to GDP",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"GVA to turnover ratio",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Economic productivity (GVA/unit of biomass)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Export value",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Trade balance (net export)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Terms-of-Trade of biomass (export/import)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Revealed comparative advantage of biomass (Balassa index)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Number of enterprises in bioeconomy",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Bioeconomy SME birth & death rates",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Occupation health and safety in bioeconomy sectors",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Employement by age in bioeconomy sectors",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Employement by education level in bioeconomy sectors",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Emplyment by gender in bioeconomy sectors",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Income by gender by sector",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Income distrribution along bioeconomy value chains",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Distance to logistic hubs (territorial dimension)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Bioeconomy investments in rural and costal areas",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Number of bioeconomy businesses developed with policy support",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Transformation of biomass at farm (or coop) level",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Income diversification in rural areas, by farmer age for production and transformation at farm or coop level",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Income diversification of rural and coasta biomass producers (other than agricolture)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Income of primary producers (fish & seafood landing income, agricolture households, forest owners)",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Adoption of new bioeconomy technology by primary producers for both production and transformation levels",NA,"Proposed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
